state,2016,2017,2018,2019
Alabama,11546,26878,63999,68724
Alaska,1063,3306,8352,8249
Arizona,22366,22543,24574,20504
Arkansas,2883,5249,5831,5939
California,44159,46097,52153,52210
Colorado,1705,5388,28600,66253
Connecticut,3369,3285,5941,17097
Delaware,416,364,997,552
District of Columbia,6953,9137,15516,14133
Florida,11384,16010,22484,29511
Georgia,43742,72183,117401,136307
Hawaii,1966,1691,1686,2634
Idaho,944,588,612,813
Illinois,44457,46075,42342,53094
Indiana,3362,4859,5427,4590
Iowa,438,1185,1857,3332
Kansas,3740,7756,10760,14529
Kentucky,9052,13348,15155,16540
Louisiana,48143,88610,89825,137452
Maine,2203,1870,2561,10825
Maryland,6074,7467,6280,21113
Massachusetts,11701,17714,32476,42490
Michigan,12749,19608,20137,15340
Minnesota,2764,6325,7439,8316
Mississippi,25068,33587,30390,31298
Missouri,4827,5831,5390,3081
Montana,323,184,1189,5831
Nebraska,794,4159,12651,15154
Nevada,6742,9118,9262,8442
New Hampshire,990,1083,1718,1238
New Jersey,9055,27155,50241,52713
New Mexico,10524,11658,23245,29657
New York,6429,17429,24167,54441
North Carolina,10417,14125,33252,101409
North Dakota,271,1014,1044,3532
Ohio,7241,11188,11941,9224
Oklahoma,5336,11018,10639,13514
Oregon,2545,10867,28906,33584
Pennsylvania,11045,18310,52731,43098
Rhode Island,1512,2394,3784,4296
South Carolina,2613,9391,12776,21924
South Dakota,5101,7611,8744,8699
Tennessee,8819,11084,6553,31075
Texas,36149,55208,59453,62789
Utah,17225,5242,17840,28826
Vermont,1421,1170,2719,4778
Virginia,91130,98385,130667,142549
Washington,1683,1866,3478,10845
West Virginia,11031,12512,9018,11599
Wisconsin,3416,4351,8265,17773
Wyoming,1690,3022,4200,3140
