State,2016,2017,2018,2019
Alabama,39536,41030,42710,44145
Alaska,56302,57394,60355,62806
Arizona,40801,42590,44597,46058
Arkansas,40385,41657,43325,44629
California,58048,60549,63720,66619
Colorado,52475,55604,58896,61157
Connecticut,69919,71740,74855,77289
Delaware,48836,50798,52930,54485
Florida,46073,48504,50964,52426
Georgia,42896,44894,46957,48236
Hawaii,51170,53433,55214,57015
Idaho,40567,42268,44554,45968
Illinois,52417,54252,57145,58764
Indiana,43672,45244,47321,48678
Iowa,46547,47662,50175,51865
Kansas,47390,48883,51261,53426
Kentucky,39754,40904,42338,43770
Louisiana,42528,43932,46207,47460
Maine,44832,46565,48792,50634
Maryland,59011,60758,62708,64640
Massachusetts,65725,68442,71801,74187
Michigan,44637,45948,47777,49228
Minnesota,53083,54960,57371,58834
Mississippi,35672,36536,37852,38914
Missouri,44318,45342,47109,48656
Montana,44024,46199,48194,49747
Nebraska,49615,50645,52890,54515
Nevada,45351,47650,50000,51161
New Hampshire,56513,58759,61471,63502
New Jersey,62842,64983,67845,70471
New Mexico,39025,39747,41670,43326
New York,61401,65814,68657,71717
North Carolina,42816,44409,46216,47766
North Dakota,51832,52736,55788,57232
Ohio,45226,46829,48747,50199
Oklahoma,41887,43794,45843,47341
Oregon,46586,48762,51500,53191
Pennsylvania,51818,53306,56032,58032
Rhode Island,50655,52644,54431,56361
South Carolina,40569,42227,43912,45438
South Dakota,48724,49787,52633,53962
Tennessee,43626,45233,47210,48684
Texas,45803,48394,51136,52813
Utah,42375,44178,47008,48939
Vermont,50420,51697,53531,55293
Virginia,53792,55631,57964,59657
Washington,55802,58437,62209,64758
West Virginia,37099,38927,41192,42315
Wisconsin,47598,49264,51628,53227
Wyoming,54168,56524,60689,62189
